8192 4096
2815 3102 4005
807 1149 3762
642 643 1091
900 2152 3423
1974 2352 2780
2228 2310 2593
25 1274 2697
1075 1543 3700
616 664 819
380 2956 3885
154 225 829
37 3843 4004
562 3215 3694
511 1869 3136
63 2109 2693
648 1759 2251
50 1639 3109
840 1168 1492
266 359 2562
2149 3453 3811
129 2982 3560
3787 3825 4038
49 1160 1331
1644 3727 3914
645 1708 2589
392 3697 3809
698 780 2802
1111 3091 3827
2048 2051 3027
52 786 1999
1557 2956 3509
1586 2583 3389
2180 2600 2892
908 3381 3544
696 1653 3739
1640 3835 3860
1855 2306 3262
27 756 2149
2671 3498 3846
219 606 3339
1170 2256 3233
764 2553 2767
1260 1816 1900
667 2555 4075
5 964 2778
307 3384 3445
59 327 1063
1013 2001 3086
904 3588 3834
2030 2329 2929
534 1141 1736
903 1342 3314
1799 1891 3554
283 2325 2476
390 1969 3696
1047 1478 3508
717 2638 2717
942 3010 3659
1217 2234 2967
96 2473 3199
2730 2872 4083
776 969 2841
176 736 2562
1080 1292 3446
1905 3846 4079
647 1879 3898
1740 2941 3426
593 1558 2218
1177 3070 3177
240 1305 3644
1621 2662 3807
40 811 2119
586 2428 3777
2086 2517 2537
481 984 2879
206 2928 3554
441 2939 3113
92 716 2629
1482 1568 3242
99 2451 3222
1403 2710 3427
530 869 2557
130 154 1211
746 2115 3052
2536 2617 3048
1825 2230 2519
1913 2598 3258
58 837 2870
204 1486 1626
1868 2322 3245
423 538 2266
2506 2568 3449
194 2836 3791
34 484 2498
1334 1917 3292
2722 2762 2872
794 1032 2280
2316 2898 3656
349 1871 3084
3015 3223 3879
541 2943 3819
779 2285 3010
82 679 2374
1835 2232 3622
1236 1265 3409
401 2533 3960
410 1123 4069
1440 2835 3784
2033 2803 3713
631 1926 2055
927 2459 3014
341 1581 2848
233 2044 3594
549 2000 2185
558 582 2746
28 867 1864
1478 2171 3278
1273 2315 3622
572 2024 3876
294 3372 3798
835 935 974
307 2639 3474
648 729 2707
382 2667 3389
781 1573 3556
1248 2790 3641
962 1550 2733
920 1583 2414
1738 2701 2804
670 2675 3005
2855 3203 3989
1381 2587 3389
1957 3743 3963
905 988 1916
1313 2191 2371
105 1683 3794
9 1318 1909
134 1541 3330
394 1656 3668
817 1194 1196
1578 1656 4053
1681 2619 3450
2024 2494 3602
698 3457 3850
464 662 1141
1061 2234 3373
1197 1480 3978
436 1780 2686
892 3897 3937
152 998 1164
427 2126 2658
2360 2847 3847
1190 2271 2833
548 1697 3343
146 2762 3125
1207 1947 3210
1274 1341 3952
1242 1282 3061
657 1060 2225
184 369 1301
1687 1939 2070
2439 3800 3854
740 1217 3758
411 449 452
315 2575 2807
188 579 2910
354 2085 2645
1396 2075 3317
1551 1575 2883
2849 3182 3979
597 1257 2033
70 2076 2551
111 3184 3537
36 2838 3911
2754 3056 4032
750 3148 3300
842 2396 3082
895 2461 4011
2402 3331 3972
695 2719 3008
1049 1136 2671
354 2631 2856
309 1723 3985
9 2687 2969
1776 2690 2870
165 280 1811
1692 2079 2194
212 2832 3390
943 1959 2317
2736 3045 3925
546 855 3785
1644 2113 3109
1154 1605 3400
127 339 1627
1979 2618 3380
1350 3263 3844
3686 3693 3991
1776 2759 2973
1161 1394 3989
28 2614 3535
5 66 1566
2231 2369 3082
1937 3103 4016
282 2025 3024
382 3310 3733
1279 1989 2445
1064 2131 2775
139 784 3675
709 1417 3383
1440 3867 3969
632 2226 3840
362 384 3549
191 754 2691
188 411 1026
2070 3747 3903
2164 3228 3976
439 841 2098
1034 1752 3257
89 1861 2729
166 2581 3152
974 1752 3789
934 958 3408
1840 2547 3613
1513 1775 3141
234 1563 3136
318 1489 3846
1569 1897 2899
493 915 3939
532 581 656
329 3255 3275
3028 3765 4007
2131 3999 4091
317 1233 1296
148 2558 3661
347 3115 3249
412 1451 1704
959 2284 2789
623 875 2100
2565 2704 2733
1138 1795 3307
1347 2230 3677
259 3116 3714
2214 2305 3820
906 1505 3131
496 3457 3985
484 1680 3935
1873 2809 3671
800 1299 3434
1283 1760 2424
261 2012 3465
888 1519 3904
617 2028 2164
166 373 3366
2044 2620 3025
1746 3614 3891
1258 1742 2414
23 365 2108
86 3851 4002
40 1649 3866
2115 2528 3496
2847 3760 3964
581 1713 2800
655 876 3772
400 594 2639
1465 2787 3297
2084 2666 3630
1094 2290 3319
1649 1665 2082
211 2839 3708
446 1165 2856
514 693 2847
479 1234 1320
217 354 1264
27 812 3745
265 448 1686
761 3160 3458
0 2912 3156
59 1155 3543
2320 2728 3725
291 1441 2405
575 1579 4001
920 1790 2519
497 1463 1948
899 2960 3034
1076 2541 3995
1479 2360 3856
293 1102 2819
2473 2922 3660
1201 1205 1287
2224 3117 3877
673 723 2001
633 3034 3289
1207 2133 2968
39 1163 2690
305 517 3736
147 2763 3717
1565 3116 3359
1323 1946 4092
661 2542 3735
496 765 3575
1285 3295 3605
185 2187 2881
941 3303 3799
457 769 3558
2380 2792 3663
84 1745 3991
1364 2152 3661
946 1221 3378
301 769 2820
127 2366 3408
179 1329 2677
231 485 747
521 1343 3918
581 3208 3344
764 897 2958
2968 3760 3815
1359 1608 2262
222 1534 1979
191 2843 3004
190 1686 2296
27 574 2957
482 1888 2344
3507 3912 4056
1676 2491 3877
2211 2225 3915
521 1598 3694
397 1424 1957
433 679 1677
1703 2207 3403
995 1671 2018
947 1274 1352
254 656 1827
169 1252 2164
985 1878 2926
1064 1474 3623
415 678 1693
1644 3274 3447
1967 2178 3323
2748 3306 3596
131 1804 2641
746 1619 1732
102 1146 1749
1785 2108 2245
232 342 1604
311 2533 3858
1429 1672 3310
2015 3640 3812
3268 3751 3930
557 3093 3549
137 2208 3045
121 708 3667
718 2125 3462
265 2649 2697
967 2795 3069
71 3240 3558
1860 2624 3620
134 2317 3025
604 1819 2006
2011 3198 3631
3039 3921 4050
407 841 2006
1553 2942 3065
61 2471 3929
1188 1783 3274
111 327 3221
186 735 2886
3664 3855 4009
630 2956 3332
2833 3556 4062
636 1272 2953
250 1602 2904
100 1809 3096
251 3089 3661
403 592 1730
78 3275 3607
1991 2085 2823
360 912 3107
2251 2464 2917
1465 2259 3654
2175 3963 4048
777 2392 3615
525 3289 3317
1593 2238 2283
816 3582 4012
568 2150 3150
670 690 3938
2395 3124 3564
130 610 1525
555 2975 3158
1003 3267 3946
428 2282 2330
149 1784 2645
783 1764 3610
100 2606 3376
165 399 1945
609 3276 3796
1817 2654 2663
323 1154 1461
1098 1707 1764
2504 2617 2803
55 357 3946
198 270 666
1011 2458 3897
167 1113 1659
518 2003 3773
264 1865 3207
66 243 967
1408 2622 3456
2368 2375 3674
711 845 1583
1528 2443 4024
1018 2011 2235
1218 1226 4009
1214 3598 4037
129 3185 3861
1219 1339 2222
827 1198 2973
421 1395 3163
1844 3213 3477
181 2511 3824
689 3451 3946
3098 3693 3964
646 2588 4047
918 2408 2975
2350 2552 2991
1335 2848 3782
763 3220 3894
198 254 4011
215 1686 2295
154 2180 4040
1636 2180 2788
391 1702 2420
2598 2870 2884
793 3551 3984
107 548 758
1116 1417 3764
972 2536 3116
480 2614 3228
1462 2373 3472
313 3424 3878
534 1818 2040
1037 1334 3065
354 762 3379
872 3181 3556
1344 3364 3744
2402 2768 3506
2771 2919 3051
1404 3938 4074
2039 2751 3089
3117 3415 3515
883 3042 3072
1322 2376 3318
623 1315 1880
504 3268 3948
1281 1381 2082
324 2353 3801
1616 1973 2986
2640 2722 3874
396 1648 2191
170 526 2652
3021 3133 3213
2612 2792 2994
11 332 1326
160 1090 3211
1260 1463 2863
697 1291 2331
712 1213 3166
884 2536 2636
501 2039 3917
60 854 3286
469 3497 4088
661 2733 3662
541 1788 2664
1129 3156 3670
90 235 1053
536 838 2567
692 1307 1554
560 1312 2959
1501 2590 3869
334 793 1908
1243 2335 2522
468 1357 2868
700 1996 3524
2435 2802 3316
2199 3044 3777
1202 1389 2171
947 2569 3008
148 2383 2874
1482 1713 3794
2289 2865 3009
685 1307 2307
502 1659 2866
3269 3922 4039
568 2642 3378
1819 2032 3778
110 306 3125
393 3429 3979
138 454 1579
77 2831 2996
834 3591 3833
531 2302 3375
3328 3637 3682
2147 2968 3580
2552 2701 4002
1028 2808 3151
934 3644 4060
707 2348 3013
723 1001 3855
127 325 1396
368 1768 2359
645 729 2799
3170 3267 3744
2479 2933 3695
1224 3326 3999
2437 3424 3964
1035 1187 3915
2343 2675 2953
1120 1902 1955
1904 2725 4022
686 1869 2684
973 3693 4095
861 1726 2924
2706 3774 4006
1139 1506 2109
1407 2585 3518
756 1975 2056
500 3073 3668
260 702 1102
3056 3145 3284
1412 2704 3303
2205 2483 2798
1340 3213 3523
1368 2689 3067
298 730 2241
213 1557 3232
1647 2694 3060
2214 3484 3679
374 1107 2019
1018 1982 4080
745 1023 2371
545 2562 4058
64 1550 2327
947 1135 3362
1321 1611 2541
323 924 2907
1580 2981 2982
1298 2213 2589
374 1043 3327
1672 2495 2837
349 473 2331
924 3437 3589
2447 2783 3576
2423 3591 3825
1353 2159 3852
1272 1750 2586
185 1862 1981
104 644 3088
966 1915 2428
1036 2624 3681
203 1940 3627
1648 3790 4031
88 494 2962
3042 3350 3721
339 1629 1776
595 859 3121
