4096 2048
220 747 1895
565 1723 1942
240 1927 1997
126 709 1347
922 965 1694
1300 1604 1867
480 1126 1767
1037 1376 1946
1129 1172 1270
537 1814 1886
774 829 1613
935 964 1916
27 959 1473
391 1522 1948
1234 1323 1720
110 575 1343
246 1488 1977
192 583 1710
354 638 1614
138 150 800
75 672 1126
225 776 1450
220 1322 1452
1531 1560 1937
241 561 1964
84 1524 1943
1489 1567 1859
205 1507 1706
230 1030 1707
515 574 1762
1233 1338 1764
400 1313 1933
533 1246 1363
1362 1525 1768
347 1033 1164
605 1859 1860
1028 1324 1809
1325 1536 1623
480 753 1232
1061 1068 1396
239 1494 1830
153 640 1889
458 1041 1263
200 653 1451
240 1639 1847
329 604 1675
1350 1948 2025
856 1308 1540
167 1299 1402
155 282 848
388 1185 1505
276 925 1103
536 1745 2042
857 1201 1777
514 1536 1920
1016 1924 1969
318 800 1176
61 917 1524
547 1282 2017
416 678 997
283 584 1821
345 886 1945
493 1318 1924
633 768 1638
89 159 193
228 396 430
1004 1508 1733
425 1790 2019
51 105 959
421 514 535
465 472 687
1513 1589 1988
607 1147 1256
36 1227 1499
285 851 1995
748 1077 1209
651 938 1900
624 1903 2005
476 1592 1954
597 1748 1860
7 93 921
424 1229 1944
707 762 772
228 863 1676
179 1401 1558
557 638 1679
261 473 1794
52 641 1268
350 712 1423
101 564 1696
609 665 1577
500 764 1848
1034 1267 1949
466 877 1454
73 414 1017
1220 1590 1705
170 1459 1503
100 330 420
313 1332 1368
58 1064 1267
520 624 1258
218 465 1152
1378 1540 2013
137 161 742
1138 1869 1951
418 1168 1819
336 443 1883
8 955 1734
38 259 1613
153 795 1216
670 1738 1862
926 1251 1823
416 461 1192
318 1586 1629
759 1165 1215
39 308 1603
181 1321 1561
245 579 1509
496 1639 1904
1220 1277 1577
293 1335 1624
1444 1544 1632
916 1010 2025
321 935 2045
474 927 1094
311 1643 1927
27 580 1351
472 1756 1775
331 774 1876
40 1444 1865
66 226 1564
151 872 1427
462 727 1630
849 1552 1740
550 832 1519
495 824 1919
922 1338 1631
1521 1723 1990
909 1720 1840
505 974 1810
555 644 676
836 1112 2015
233 903 1002
127 209 671
31 515 1347
1170 1461 1793
24 983 1194
536 1039 1544
860 1015 1027
298 522 1817
348 430 1393
308 665 1605
189 876 1023
689 948 1087
35 402 1568
179 831 884
162 935 1855
972 1134 1979
233 349 591
98 364 1933
1116 1151 1519
774 1474 1832
250 361 1671
514 658 1139
203 809 1185
803 1709 1841
751 986 1263
0 60 545
168 1453 1866
393 558 912
339 1167 1268
65 853 1089
126 537 851
139 312 1667
332 809 1831
244 1242 1330
923 1137 1266
534 1489 1709
726 854 1374
796 1125 1198
1466 1574 1696
379 642 1505
778 1206 1419
129 302 1708
440 675 684
536 653 1668
200 228 403
621 950 1559
45 1070 1412
107 1088 1303
1124 1178 1828
40 163 921
1164 1596 1960
1058 1370 1783
240 400 1284
593 1984 2036
374 1431 1823
864 1193 1835
317 1048 1483
518 1485 1984
694 1027 1083
552 757 1590
124 1047 2012
673 920 1802
135 718 1008
71 1053 1095
1002 1032 1469
42 1673 2020
203 896 1435
14 807 1110
1085 1213 1570
208 870 955
1019 1280 1662
259 941 1866
558 1154 1946
482 1141 1446
313 585 2024
680 975 1964
760 1254 1631
114 1978 1985
60 1398 1926
364 1077 1820
1474 1529 1554
439 1155 1175
163 532 1428
53 1432 1691
1148 1230 1831
673 1064 1430
38 68 1632
951 1319 1855
162 1184 1427
1216 1451 1549
168 1283 1321
719 1218 1729
185 1185 1234
1126 1629 1798
864 1945 2037
145 396 434
368 797 955
99 1453 2016
156 259 1654
739 1890 1973
115 1504 1571
1174 1320 1710
5 628 1656
330 1040 1292
334 784 1918
45 1151 1732
62 80 675
537 559 721
688 1157 1832
255 1424 2006
91 682 1606
405 1621 1681
239 871 896
642 1294 1430
911 1405 1475
525 1055 1300
1413 1935 2006
70 108 881
749 1673 1947
730 1463 1965
165 511 986
706 1828 1843
861 1272 1681
173 1416 1722
276 949 972
287 446 1512
13 252 338
271 803 830
1799 1980 2022
56 620 1650
631 1340 1363
704 1777 2015
1126 1653 1672
701 1245 1910
1047 1573 1912
1248 1290 1477
1079 1497 1521
300 529 743
223 1133 1717
551 731 1818
314 503 1247
526 823 1237
156 555 1322
845 1602 1942
43 169 272
1180 1356 1360
146 684 1646
934 1828 1839
190 463 728
90 1137 1140
451 508 1459
757 1362 1679
454 1035 1791
599 838 1146
512 902 1376
401 728 1120
584 927 1043
24 636 1932
44 243 1686
496 1225 1299
288 379 1306
582 1206 1676
351 782 1266
153 784 1023
93 895 2018
395 483 1742
601 1133 1439
157 1142 1439
267 1115 2008
715 1853 1890
1210 1411 1799
568 756 1546
83 212 1292
536 975 1676
852 1052 1173
721 782 1024
354 1033 1842
791 1023 1605
82 1058 1704
492 1245 2042
774 1014 1455
277 1086 1659
383 424 494
292 395 968
352 718 737
876 1206 1838
82 1216 1314
642 1706 1887
833 995 2006
128 1070 1963
824 1580 1824
1096 1757 1852
1647 1732 2023
661 1508 1979
31 131 1539
325 602 1985
11 972 1502
293 466 1636
770 1014 2024
1530 1618 1916
341 1088 1131
390 889 1930
9 163 1764
702 736 873
1039 1108 1735
69 333 392
5 191 970
385 1076 1150
428 653 1535
14 1265 1991
950 1113 1367
621 646 2016
755 769 1159
72 861 1174
500 1232 1571
185 1351 1542
262 681 1427
161 366 1231
1267 1411 1486
1316 1318 1467
231 701 1475
746 887 962
603 1692 1779
883 1342 1430
592 1311 1928
1352 1500 1548
327 746 875
1114 1772 2021
67 336 1497
1374 1649 1962
988 1479 1495
329 814 846
1196 1670 1845
525 667 1254
719 1132 1357
289 1092 1438
66 97 1359
17 470 1112
478 760 1446
252 640 1291
253 999 1852
12 677 1899
551 1074 1526
62 945 1753
138 1397 1652
112 1377 1747
229 384 557
972 1770 1921
523 656 726
390 469 1807
171 569 1888
1111 1445 1486
375 686 1860
625 1143 1811
61 976 1119
700 893 1533
305 1405 1978
118 1143 1783
543 756 1335
217 888 1333
1386 1529 1620
159 1467 1538
128 939 1026
21 636 899
721 751 1131
207 455 635
355 1572 1840
474 1260 1564
455 1559 1994
612 1771 1783
444 1047 1088
46 1509 1626
320 1336 1700
18 34 410
277 1118 1217
82 102 1843
1524 1603 1874
125 252 627
565 775 1433
303 834 1968
812 1226 2027
161 800 1426
425 1098 1386
445 1629 1738
623 1266 1663
222 224 1863
1380 1528 1922
249 1504 1849
1237 1753 1842
865 1744 1887
354 897 1262
69 1362 1740
17 155 1417
133 443 1709
3 273 1314
420 691 1792
967 1055 1464
1 591 1852
260 1013 1313
43 484 594
403 566 1189
24 621 1968
299 1035 1364
116 910 1934
333 855 1162
50 432 1793
230 299 1153
761 1829 2033
417 869 1980
998 1089 1712
858 1704 1846
521 977 1207
193 1766 1844
526 749 1111
671 1827 1920
1019 1100 1981
124 190 844
1224 1637 1739
844 1172 1629
357 789 1994
64 1032 1630
408 864 1049
514 1354 1614
56 699 1967
473 1841 1890
456 793 1839
823 847 1047
22 1317 1698
565 672 1009
484 1493 1637
661 886 1117
913 1127 1841
213 1183 1564
204 632 910
341 1119 1483
20 244 1972
381 1207 1837
901 977 1006
135 369 1264
81 486 847
333 680 837
462 710 1812
59 1046 1271
266 402 1891
641 1085 1226
454 633 1003
865 2023 2031
280 492 1968
860 1886 1950
123 1298 1475
940 1530 2005
919 1333 1417
1189 1192 1856
35 472 1981
179 382 1098
232 272 1141
396 1093 1553
527 1280 1290
122 1427 1801
957 1303 1803
279 501 1903
573 1501 2037
287 1288 1344
246 289 1950
37 901 942
68 97 1863
527 1105 1424
271 440 1878
108 1363 1376
1198 1265 1952
502 595 2013
598 667 1768
32 629 1756
83 446 1059
569 1130 1873
985 1373 1519
1398 1603 2039
1284 1412 1979
695 822 1004
353 412 1838
233 875 1168
486 1259 1879
768 1246 1769
608 1411 1923
119 885 1805
261 499 1771
7 1169 1771
9 204 1666
71 992 1538
1398 1770 1948
449 1647 1715
1392 1533 1616
645 1127 1212
444 916 1702
1122 1211 1962
642 1431 1486
281 585 1545
916 1603 1936
834 1488 1942
806 1299 1472
924 999 1396
939 1276 1730
319 553 1391
1018 1424 1571
759 1433 1711
1355 1372 1969
612 1400 1906
874 960 1100
38 791 1578
199 1780 1943
499 1674 1938
876 971 1038
1697 2000 2029
367 1021 1928
1358 1730 1967
1121 1402 1675
1240 1274 1532
1124 1286 1975
42 620 1770
209 489 1775
254 415 1790
49 614 1836
265 890 1065
1443 1598 1965
831 1260 1935
462 591 831
113 333 579
527 1351 1481
510 809 974
1105 1323 1903
2 1044 1223
375 1200 1630
184 1141 2043
501 756 1791
510 1186 2029
849 1514 1914
790 1799 1868
101 1498 1631
348 460 1636
89 520 1031
769 884 1701
1234 1342 1877
8 1476 1780
47 188 1372
19 491 1456
427 832 1062
448 1257 1754
623 1233 1316
929 1690 1853
346 1332 1497
175 342 1950
325 899 1101
1125 1188 1729
356 758 1572
619 1597 2015
299 1425 1485
456 1236 1538
853 977 1498
301 398 762
138 539 1862
180 184 974
66 303 1493
778 1331 1470
86 1824 1877
1104 1137 1231
1444 1692 1969
72 192 757
375 602 726
189 323 1901
669 1260 1343
36 681 1744
846 1504 1585
30 587 871
192 446 885
945 956 975
57 804 1503
662 680 934
569 618 678
960 1533 1797
168 346 1976
105 465 974
480 863 1782
322 495 1936
387 667 1699
639 715 1506
300 1295 1396
63 604 719
678 1336 1445
288 762 844
1380 1403 1650
245 1018 1696
1430 1595 2036
1193 1377 1837
1099 1158 1668
99 211 487
844 1522 1745
55 1276 1963
1235 1588 1925
496 1097 1482
1225 1465 1846
139 1248 1608
627 1506 1972
644 758 1460
381 1144 1407
779 1288 1857
1068 1764 2023
777 1919 1982
821 1122 1160
48 948 1898
329 818 1650
317 1020 1242
216 1019 1202
384 560 704
491 1430 1528
317 502 1974
1752 1913 1917
1516 1727 1734
575 588 1007
256 372 902
329 1308 1774
558 881 1345
669 854 1154
337 1164 2016
560 829 2026
605 1034 1739
1000 1118 1900
59 104 1214
358 1028 1326
755 1307 1815
199 1254 1602
629 631 704
10 1212 1265
1542 1557 1864
1327 1802 2018
565 698 1959
820 1255 1684
868 1487 2047
1434 1528 1570
90 453 938
523 1119 1204
196 1253 1391
177 733 1270
23 1043 1990
824 1174 1697
712 1591 1594
166 486 1322
766 1236 1772
498 1473 1890
787 1046 1460
450 948 1828
538 680 754
953 1069 1523
1305 1703 1867
956 1476 1507
1163 1843 1945
212 898 906
126 900 1796
144 528 1141
133 280 1646
183 1070 1522
71 1054 1388
191 1300 1903
208 649 1861
332 460 876
249 474 1510
988 1252 1458
195 585 2038
595 686 1616
205 273 615
25 221 358
600 966 1713
870 1015 1440
264 724 787
237 1117 1250
248 886 1473
460 1303 2013
917 1956 2046
102 1302 2033
1160 1607 1795
64 96 1711
361 1691 1808
139 320 481
521 1000 1377
658 1058 1367
740 767 1756
118 1440 1711
360 883 1735
776 1623 1654
138 264 787
1599 1632 1809
195 1409 1661
1131 1456 1595
878 1154 1217
82 209 1566
352 773 1480
517 1250 1349
557 1360 1953
795 985 1286
0 1031 1665
383 981 1204
677 695 804
114 1418 1700
46 619 826
553 1161 1700
547 915 1765
355 1571 1805
37 497 1808
1100 1123 1280
328 516 663
871 1524 1690
1144 1350 1613
373 1555 1987
155 377 1515
299 1432 1570
286 328 1032
553 698 850
813 1005 1491
435 471 1818
335 1813 2001
1048 1177 1843
116 906 1974
535 1704 2009
934 1215 1734
140 729 1134
1529 1859 2039
505 971 1473
751 843 1219
369 1273 1856
78 88 648
1328 1436 2039
290 880 1098
30 805 1190
117 1369 1679
390 960 1717
317 519 532
1091 1781 1926
582 840 1054
487 1161 1499
208 874 1225
388 1358 1891
1018 1483 1696
664 1238 1332
240 1461 1516
112 207 1052
222 1336 1826
286 508 694
163 937 1637
370 681 1212
651 984 1378
856 999 1999
1031 1045 1123
1476 1534 1708
602 606 1073
64 507 510
188 805 1096
835 1538 2031
400 532 1445
704 1052 1478
600 1171 1739
457 1368 1686
1606 1688 1923
711 908 1057
734 1381 1510
310 1251 1382
580 750 1338
151 954 1365
736 1472 1617
643 705 2046
867 1284 1440
962 1142 1627
497 917 1175
907 1010 1690
416 924 973
1184 1636 1955
198 485 1496
1090 1678 1838
495 1612 1908
799 1067 1139
884 1241 1461
188 912 1203
81 579 1472
801 895 1792
401 1200 1753
32 1581 1988
1102 1227 1943
1109 1281 1701
410 1949 1992
438 555 1521
1132 1742 1799
749 1387 1913
89 1245 1810
427 1363 1932
692 722 1350
1469 1966 2015
1703 1717 1880
215 670 1476
846 1508 1914
394 425 1645
250 323 438
403 1315 1494
111 1301 1885
236 449 1622
334 1787 1945
992 1172 1708
1078 1304 1808
426 651 1990
747 1549 1795
489 639 1090
244 915 1584
1455 1786 1983
155 799 1301
1142 1252 1615
336 388 1170
30 337 1712
301 597 1428
232 540 1404
674 1084 1333
980 1038 1623
418 706 895
835 1454 2034
194 437 2018
415 820 1379
481 850 861
950 1358 1725
15 423 825
407 980 1522
159 923 1282
349 784 1118
149 1591 1861
234 275 1880
372 929 1425
1646 1947 1995
778 1180 1788
657 1169 1314
76 1068 1611
1408 1480 1554
256 517 1017
61 1019 1892
1042 1146 1460
229 1740 1837
18 1300 1769
129 431 1889
288 403 771
136 303 1673
175 1574 1955
684 1056 1218
614 667 1050
186 899 1792
627 1500 1834
838 841 1015
842 980 1513
226 1257 1884
126 279 1026
154 378 1977
158 637 2011
470 1350 1917
392 554 859
943 1134 2040
256 508 1309
113 834 919
33 70 479
1144 1353 1688
307 501 1195
72 141 801
145 461 1156
958 1183 1565
154 1527 1629
160 662 686
1169 1308 1493
258 304 501
227 905 1365
1209 1293 1407
89 294 1564
643 1374 1631
1441 1464 1796
754 1297 1854
899 1259 1490
731 1186 1833
263 1016 1166
1687 1953 2015
898 1006 1957
89 799 883
662 1301 1400
787 1634 2030
345 1628 1971
241 1794 1913
1147 1849 2030
741 1188 1535
21 918 1016
427 1612 1802
93 507 1680
1133 1750 1909
225 859 949
839 1096 1821
26 1495 1958
1006 1257 1544
178 1984 2011
245 966 1471
312 1060 1643
329 496 1104
416 427 1766
611 1701 1894
1104 1202 1441
197 910 951
1661 1861 1941
738 1548 1958
813 1007 1233
203 604 1952
237 1440 1895
508 1275 1929
659 1584 1992
444 1781 1892
845 1924 1964
729 1102 1142
371 400 1331
3 1062 1226
1060 1136 1772
1240 1359 1622
446 1652 1996
578 888 1570
315 1230 1590
348 578 960
406 625 1132
346 619 2014
244 1202 1377
817 1149 1414
562 564 1205
377 1516 1878
175 1195 1935
293 1280 1345
632 745 1181
430 938 1725
229 1291 1530
430 925 1976
334 1344 1454
380 1516 1594
700 1048 1989
80 473 1519
699 767 1187
346 941 1761
906 1210 1755
350 1018 1129
354 1281 1871
508 1085 1781
554 1268 1576
257 343 556
553 943 1932
966 1611 1655
418 462 1564
459 545 1384
596 1588 1769
831 971 1779
573 1143 1301
1660 2002 2026
132 743 1502
1262 1351 1450
781 956 1252
1064 1462 1959
744 806 1395
1026 1264 1312
439 1142 1854
112 444 471
710 828 1197
1493 1688 1877
575 1202 1569
509 840 2017
307 485 1142
636 1238 1658
436 854 1723
309 1927 1976
1542 1699 1923
552 685 740
723 1325 1788
688 862 997
399 676 1628
1139 1437 1454
317 632 1923
567 656 1716
1172 1215 1511
511 1439 1479
143 256 2012
433 1480 1618
272 621 945
822 936 980
96 221 1800
4 1013 1899
382 507 806
566 1304 1324
285 489 1952
445 575 1515
2 1247 1799
1714 1999 2008
1022 1430 1972
753 1450 2008
233 1577 1664
196 601 1302
190 1386 2002
1045 1199 1810
338 1685 1786
17 251 949
270 1433 1991
254 599 1633
452 1045 2038
215 874 1122
916 1532 1677
1511 1558 2009
112 729 1096
1773 1863 1888
23 171 1949
77 456 1349
40 722 1281
208 1035 1662
41 118 566
532 935 1309
1138 1688 1812
54 255 1948
889 993 1306
841 1121 1341
188 1449 1609
200 796 1881
250 454 1223
9 277 494
45 1376 1755
189 1515 1990
1120 1630 1982
918 1092 1934
1009 1277 1904
504 1778 1831
53 1736 1761
181 1023 1384
954 962 1312
531 1510 1905
20 177 891
387 1396 1987
646 757 1990
244 601 1624
969 1565 1965
94 1275 1276
85 599 1251
928 964 1242
185 440 878
770 817 1399
74 495 1395
426 798 1485
334 375 1193
857 1086 1485
545 730 1448
896 1532 1792
1085 1559 1569
523 716 1249
678 821 1147
301 1016 1237
586 1354 1951
1169 1369 1938
310 1208 1578
172 433 1896
70 331 557
619 1006 1218
1503 1592 1996
794 1410 2032
442 782 1645
562 1669 2042
681 991 1201
488 1198 1865
201 258 1501
765 1381 1751
570 717 1740
489 1402 1713
439 813 1333
387 902 1164
300 1179 1866
587 1725 1937
648 1182 1307
645 698 1764
90 415 1253
134 401 1674
307 1182 1510
695 1361 1520
1342 1608 1635
385 622 1905
62 243 1173
103 511 794
173 1459 1739
703 1598 1977
158 1631 2028
773 999 1153
238 241 289
241 404 748
621 921 1043
118 1346 1535
348 815 1742
157 1365 1518
1157 1171 1998
178 521 1122
1381 1589 1712
203 1418 1727
1012 1317 1532
257 1077 2024
454 877 1256
1005 1031 1857
334 1587 1832
8 1406 1948
827 1398 1545
48 176 542
131 833 1871
359 1692 2026
265 1624 1649
1537 1664 1817
207 1665 1706
709 779 1053
134 563 998
339 571 1878
1258 1556 2007
634 793 1508
477 1081 1449
73 92 1445
437 641 1994
397 1244 1984
715 1488 1617
358 1110 1413
1394 1879 2036
716 1325 1511
1120 1255 1553
632 689 1386
568 772 1750
1541 1567 2017
187 324 561
56 1130 1878
1736 1776 2005
292 792 1848
148 626 1751
19 59 761
242 476 1599
413 1333 1555
640 984 1492
217 994 1731
95 1135 1550
316 587 1479
548 1196 1551
456 1905 1920
542 936 1174
520 1048 1286
418 1316 1859
124 265 1951
106 1250 1835
63 91 645
442 1442 1962
31 294 562
373 1128 1422
156 477 813
1012 1452 1881
1182 1495 1540
12 875 1102
105 224 1099
503 563 1869
251 923 1346
745 1157 1436
1066 1182 1779
122 319 1275
152 859 1341
705 933 1492
384 809 1629
198 727 1540
409 1287 1718
713 785 1799
531 1487 1504
166 1031 1149
58 496 1401
496 1362 1551
776 1305 2014
838 1569 1822
428 1550 1647
296 1046 1619
589 617 1598
291 370 583
58 740 1355
180 440 646
310 474 991
142 682 780
1410 1530 1552
15 431 1725
50 1136 1319
1101 1552 1815
372 616 1835
736 1471 1864
273 837 1723
729 782 1760
1487 1637 1895
1826 1860 1863
1131 1221 1337
247 968 1408
162 854 1746
361 376 1238
287 616 1081
292 1574 1691
45 771 829
713 837 1961
459 1041 1817
357 459 721
802 1511 1667
158 1357 1371
94 978 1334
997 1312 1970
25 506 620
534 553 1681
152 572 929
581 1027 1573
561 583 1642
219 1201 1979
362 1386 1561
1072 1084 1803
475 785 1728
674 1071 1433
40 822 1058
79 411 1547
671 752 1601
487 1410 1465
188 1144 1931
248 272 1913
814 873 1013
779 1209 2003
786 1287 1625
1136 1389 1804
1047 1745 1887
315 434 1146
216 1115 1326
227 1392 1730
323 940 1171
1244 1279 1893
897 911 1829
206 931 1173
414 1611 1619
1656 1711 1943
302 1785 1963
353 565 1285
11 347 434
121 714 1405
1360 1565 1625
750 1668 2043
594 1726 1758
111 930 1917
1065 1400 1600
572 1557 1568
435 1289 1766
373 1117 1551
27 676 711
0 981 1643
505 904 1121
597 867 1346
18 833 1986
719 1411 1468
345 675 1139
431 811 1231
1129 1575 1881
86 737 1942
420 1443 1713
46 1892 1953
107 480 2034
277 1389 1418
648 1610 1856
814 1750 1933
9 839 956
696 1015 1397
310 342 1390
229 582 697
680 720 1630
823 1724 1904
359 725 1462
823 1600 1683
2 765 1348
494 1443 1952
497 1037 2019
39 46 1200
321 1375 1996
533 1040 1793
1403 1595 2041
471 1060 1640
399 447 918
218 345 1993
781 1481 1991
322 394 939
78 1259 1443
781 1323 1618
502 1059 1727
414 839 1007
694 773 1989
948 1709 1983
169 1641 1886
655 791 1501
724 1198 2020
691 1839 1870
31 530 1690
362 1551 1998
1002 1518 1952
177 406 1787
603 645 1937
143 228 1303
326 1531 1891
592 1435 1864
1192 1353 1378
998 1435 1810
1826 1956 2027
21 909 1054
875 1329 1726
639 1015 1247
48 1192 2035
1017 1743 1793
219 1353 1489
153 518 1677
321 1004 1319
495 735 870
147 286 576
282 1213 2004
556 1693 1901
284 412 653
1726 1981 2005
690 1202 1549
596 1427 1928
540 1612 2041
1262 1367 1716
1213 1362 1543
152 783 2012
796 1107 1332
405 873 1825
892 1579 2018
1029 1769 1888
33 953 1176
113 254 1393
1077 1513 1680
367 851 1845
202 1640 1766
196 1341 1912
176 1215 1496
485 530 1932
1006 1635 1707
930 1092 1871
593 1007 1219
317 506 1078
567 1493 1641
561 1555 1885
580 928 931
1436 1641 1809
81 1403 1423
1235 1587 1764
731 1060 1813
877 1001 1103
528 1353 1874
181 436 1548
425 539 1256
524 629 1084
172 1137 1428
122 1750 1824
88 325 1595
714 780 1784
207 661 1372
115 544 1387
500 1737 2033
549 1537 1956
606 1489 1707
61 459 1999
672 848 950
710 1838 1945
32 769 1367
522 919 1686
1078 1467 1536
464 655 1082
438 1397 1887
98 143 1684
443 697 1007
380 591 598
428 1524 1630
29 306 1658
468 863 1923
520 850 1196
410 704 705
628 1278 1338
626 1378 1620
260 1656 1891
687 1576 1645
660 1079 1724
52 877 936
803 1022 1995
87 1297 1983
725 774 1641
291 769 831
1341 1956 1962
470 685 2022
457 570 1119
516 1743 1811
540 543 806
338 760 1307
72 351 863
242 1036 2019
1049 1080 1199
387 1462 1584
311 725 783
448 1246 2008
908 1204 1685
222 734 1208
83 380 397
109 293 2021
60 1029 1663
490 839 906
176 1721 1759
384 1830 1871
609 925 1502
103 353 742
526 908 1837
44 1312 2029
7 330 1150
325 484 1043
183 846 1425
148 1141 1220
235 1270 1981
409 988 1692
755 1012 1542
201 276 2010
182 1439 1620
106 1318 1537
65 1099 1977
77 434 764
670 1042 1306
948 1098 1869
1352 1565 2031
538 933 983
578 723 2000
22 145 2018
348 1783 1971
15 45 868
837 971 1289
665 716 1490
217 1670 2017
413 1557 1831
202 826 872
513 1204 1753
154 489 1304
450 825 1277
575 865 924
918 1456 1855
203 1657 2047
8 210 504
175 332 531
386 652 1742
35 859 1380
712 931 1464
1094 1648 1959
429 1016 1138
1506 1756 1784
808 1512 1919
516 574 1615
198 511 964
1326 1639 1947
542 1185 1440
226 551 1292
838 889 1582
1200 1608 1885
623 682 725
835 990 1727
528 1546 1652
82 953 1854
467 595 1194
84 604 1177
1672 1842 2018
987 1635 1940
2 201 1875
576 637 1178
629 1539 1870
1684 1829 1997
28 169 1809
130 513 860
120 148 896
592 869 1334
133 1021 1628
22 211 577
711 1733 1975
8 148 1841
825 1419 1998
498 593 1391
75 949 961
362 592 1488
122 833 1586
802 1224 1538
27 275 1167
436 658 1665
458 1728 1777
723 1624 1640
1626 1644 1724
81 644 1935
10 1559 1609
353 605 1391
174 1632 1884
78 1114 1312
949 1219 1978
108 807 1824
152 356 1014
1580 1607 1902
1192 1296 1484
7 569 2004
47 335 1725
695 1819 1931
415 784 1669
99 1287 1634
251 297 1673
2 869 1071
426 927 1179
612 947 1975
867 895 1338
447 996 1563
457 821 1022
505 1346 1701
1276 1599 2010
881 1370 1478
1390 1434 1906
268 442 858
67 1282 2012
426 771 1778
651 1619 1808
96 1785 1927
34 617 1159
309 573 1780
164 568 1354
18 78 516
890 1431 1464
874 1129 1857
217 281 549
5 1735 1771
544 1415 1982
1 79 593
631 776 1108
867 1414 1938
178 1248 1598
14 205 1805
373 528 812
24 521 1469
72 744 1205
1013 1077 1890
507 1051 1914
147 807 1495
477 1223 1969
134 906 912
996 1672 1909
279 369 564
29 38 500
1335 1600 1829
788 1230 1446
1358 1687 1744
763 1227 1894
572 1506 1972
1083 1413 1876
568 1078 1243
340 900 1922
1181 1411 2037
320 514 1334
26 976 1743
709 1183 1531
426 702 732
1249 1458 2028
257 376 993
209 448 1967
1042 1128 1340
659 1314 1912
588 589 1749
135 922 1882
141 224 1304
993 1527 1882
43 439 1446
87 101 1289
84 1624 1836
440 823 1820
828 1758 1898
816 1740 2004
54 795 1043
16 222 492
1298 1383 1850
1172 1321 1363
608 1409 1924
