1024 512
138 314 345
55 245 451
330 390 490
4 222 315
22 82 166
199 202 349
96 174 334
364 379 382
114 177 290
197 228 395
119 139 254
231 324 511
86 293 416
110 149 198
127 219 491
260 412 476
387 401 446
12 151 421
310 322 495
21 235 336
208 350 484
207 246 425
91 313 349
17 49 56
110 131 485
83 426 478
443 477 478
104 270 272
189 190 384
36 221 392
39 351 371
120 338 510
180 267 309
89 350 427
121 240 323
150 244 357
1 389 406
14 413 439
157 165 215
33 220 230
118 284 372
106 192 449
34 325 447
183 294 428
4 127 334
109 121 175
77 99 111
184 221 223
2 378 391
66 170 323
69 403 461
442 454 482
100 311 328
44 388 410
131 377 398
342 356 382
129 470 499
217 236 416
47 164 345
243 269 492
9 220 507
74 77 356
172 280 401
56 334 417
200 282 399
27 101 412
83 286 414
173 216 489
75 461 464
71 204 342
78 87 428
83 237 299
118 124 214
204 359 425
76 128 228
67 89 296
201 208 313
181 196 363
17 237 244
42 182 270
6 286 359
50 142 318
159 338 478
36 359 481
159 223 398
140 421 477
128 393 405
19 45 330
82 157 186
24 130 231
149 273 292
232 303 331
42 330 426
79 144 448
93 301 443
60 92 300
20 220 389
3 47 355
37 258 496
151 305 383
96 355 448
276 290 296
409 417 454
250 403 473
48 233 378
346 367 416
26 97 331
152 190 452
170 206 459
151 238 374
369 389 500
62 411 473
39 304 357
123 191 298
157 295 298
133 230 402
8 444 469
268 453 497
338 376 381
83 185 383
74 179 358
289 302 425
195 405 493
173 310 397
167 178 251
99 188 444
102 159 509
30 35 490
2 214 456
434 443 476
49 58 399
135 280 460
38 62 135
5 445 504
55 210 450
50 233 243
251 269 391
0 60 405
14 25 159
73 155 492
204 363 494
3 198 280
6 319 494
137 289 480
141 238 494
186 220 262
37 230 356
24 57 82
10 154 511
72 191 225
81 472 499
66 211 486
215 336 386
110 306 482
32 245 424
255 352 494
53 260 368
117 263 485
61 278 459
200 460 497
65 186 495
311 379 435
232 238 282
65 110 232
57 433 455
212 398 448
45 180 491
28 354 405
51 169 256
71 303 344
64 163 180
15 130 201
289 374 412
146 216 271
63 186 274
88 89 342
19 23 304
89 113 225
13 182 449
254 401 486
268 316 388
239 240 324
213 333 387
89 441 498
146 293 329
234 241 411
59 195 332
332 354 377
24 224 469
188 234 345
112 143 455
7 251 441
270 292 455
179 193 289
41 116 207
73 94 175
151 314 416
317 443 479
118 173 382
263 275 435
58 96 352
2 213 367
309 366 426
16 331 510
231 360 473
3 80 97
192 203 462
76 430 457
72 251 291
24 127 458
86 269 290
242 427 446
4 128 317
76 242 457
67 465 497
42 119 274
49 80 404
13 99 160
11 33 256
105 160 453
172 236 456
70 352 487
205 235 510
151 164 491
121 318 454
87 215 276
166 245 420
155 275 368
101 279 474
150 259 320
34 74 436
88 166 261
26 315 508
167 365 466
137 374 386
6 102 472
137 243 376
158 283 364
3 265 279
66 332 461
12 45 143
268 294 395
48 169 428
58 270 507
105 255 481
40 164 509
202 281 356
15 396 432
38 154 489
65 374 451
358 433 472
171 356 406
62 65 234
306 390 442
165 235 300
293 323 471
258 386 466
12 323 502
147 369 503
201 319 338
380 405 450
163 216 487
312 329 467
245 328 491
225 339 425
138 429 495
375 493 501
57 149 362
298 310 421
20 223 369
23 140 375
134 218 247
174 379 462
52 92 301
18 245 450
276 387 399
10 158 390
43 270 408
10 56 408
82 256 394
41 94 441
22 340 402
292 332 470
260 425 484
227 295 326
7 51 254
50 327 442
80 190 427
301 445 479
291 392 438
351 474 480
272 309 445
227 267 386
199 267 311
77 236 492
100 117 325
36 171 452
174 275 283
148 337 488
23 181 293
5 219 434
52 68 452
41 106 119
146 397 470
17 369 402
145 407 445
297 352 435
220 411 413
2 45 259
22 163 237
420 432 506
126 145 277
115 150 465
15 93 472
212 479 497
139 158 214
39 222 470
138 303 466
288 347 423
5 26 185
246 329 415
95 198 308
119 226 264
104 376 460
241 317 465
116 177 211
137 209 504
329 362 503
212 276 435
284 309 423
78 148 417
29 184 282
54 330 468
18 71 226
294 308 415
13 25 414
58 280 384
284 370 437
54 124 189
53 167 437
114 132 202
167 233 319
306 476 503
77 115 469
27 117 485
13 160 250
219 285 434
53 361 404
142 195 414
232 348 368
171 331 511
187 217 335
230 478 486
7 191 385
88 349 506
35 112 261
64 132 479
206 255 431
70 86 144
30 195 337
115 181 218
105 336 430
55 71 228
170 227 493
338 342 471
95 149 302
168 263 387
249 409 481
68 172 194
131 269 467
35 175 208
106 388 463
18 404 406
25 220 406
33 48 365
85 479 481
113 159 392
207 329 367
154 316 410
201 239 333
46 192 489
248 452 508
73 144 160
194 346 436
248 484 492
97 218 278
192 330 382
11 249 263
23 307 361
136 153 490
103 228 240
113 247 314
302 310 465
166 217 360
1 243 427
205 312 335
150 225 226
108 261 370
262 302 312
180 379 477
103 181 393
51 106 402
132 257 336
135 180 261
206 249 323
32 286 462
302 418 474
252 312 445
158 380 479
14 317 401
29 134 192
7 215 257
216 327 368
76 295 432
37 251 487
59 84 186
134 136 466
102 141 480
185 237 299
192 307 315
143 266 442
5 436 489
197 383 420
31 120 241
21 248 335
28 206 314
54 204 209
417 430 475
232 256 356
199 233 421
228 267 304
106 136 238
73 94 507
63 288 357
176 499 511
126 203 322
161 359 395
190 252 288
169 241 256
447 497 509
87 131 186
222 408 483
281 344 394
264 347 370
122 409 460
150 365 478
116 252 393
84 103 128
27 112 198
23 147 287
108 221 335
194 321 348
286 435 461
79 119 346
292 359 395
80 254 308
21 178 224
19 229 468
67 169 493
161 298 480
44 138 282
59 61 118
183 214 453
17 34 140
51 240 389
242 357 400
54 79 111
0 20 133
194 247 510
162 231 337
69 196 436
303 403 451
19 451 475
238 419 426
3 122 218
41 268 461
380 397 446
146 252 432
240 297 419
173 219 244
26 264 399
179 269 467
101 364 413
309 326 400
184 371 384
290 351 500
7 300 428
164 211 304
66 91 193
33 114 424
29 429 453
101 119 226
292 320 440
4 437 456
40 337 449
141 303 308
90 272 460
316 353 410
41 68 340
82 109 260
420 438 498
237 321 362
210 319 340
137 239 498
95 432 503
59 347 376
258 325 485
21 32 182
364 382 484
107 127 385
63 236 402
110 259 327
152 246 403
27 286 392
120 217 299
20 90 93
16 288 407
224 294 442
33 133 439
111 177 296
111 341 351
68 200 322
243 270 429
116 306 339
60 293 494
89 388 394
162 209 489
115 458 511
35 47 322
20 170 492
55 295 418
205 230 288
227 350 395
72 178 398
58 267 429
171 360 475
19 305 504
95 298 355
123 363 400
81 114 229
43 343 418
94 138 180
156 273 321
15 79 273
68 188 473
34 153 384
166 246 352
161 391 437
39 172 476
155 287 456
14 276 510
3 183 196
25 325 474
34 165 278
104 106 200
210 496 502
157 266 346
92 369 389
112 129 157
46 202 300
211 263 275
257 307 380
18 93 504
38 184 339
147 258 488
329 332 416
121 283 438
185 225 401
31 250 328
71 376 468
29 53 418
315 446 449
277 430 475
88 101 249
171 248 374
74 396 398
153 249 334
361 378 496
0 44 53
43 256 501
50 58 505
48 328 350
11 72 174
94 262 477
6 37 360
76 213 458
85 381 431
125 205 413
31 92 303
193 291 410
84 174 347
97 179 407
164 202 218
109 139 494
331 400 436
143 155 454
56 132 372
113 235 471
90 99 334
27 43 297
49 143 197
14 125 221
294 327 448
162 259 397
86 193 495
350 362 392
184 194 371
47 156 278
305 375 505
22 101 397
62 285 500
0 168 324
277 340 353
81 175 412
80 320 465
250 353 427
153 249 283
10 313 422
385 422 471
273 311 391
30 295 402
18 181 491
173 386 492
46 87 385
284 325 366
128 324 373
116 250 320
55 493 509
263 408 493
93 341 394
67 234 365
12 425 433
170 223 383
11 107 199
229 287 488
247 266 407
223 308 442
161 193 348
431 453 464
242 244 253
10 404 415
221 393 451
373 375 439
9 345 440
109 313 383
102 159 209
142 216 377
247 279 285
36 108 332
41 210 252
57 227 396
39 111 457
124 177 429
193 403 417
27 140 464
60 167 364
229 424 469
47 67 149
9 125 470
271 281 481
71 125 501
259 298 352
75 98 130
149 387 501
28 100 125
291 296 335
264 446 473
60 353 394
1 78 465
212 426 440
10 412 422
11 185 327
162 253 360
50 312 506
28 182 260
4 131 463
46 428 475
206 316 438
1 13 96
285 326 409
147 148 253
31 226 314
200 336 462
123 161 187
22 187 370
98 318 333
288 291 349
91 122 302
129 459 510
6 272 455
168 354 501
14 212 231
104 170 345
73 381 460
25 38 100
52 197 506
137 156 231
410 437 459
36 455 506
239 324 372
131 176 345
104 134 275
258 391 424
76 163 337
234 334 419
116 307 349
198 414 464
52 305 357
33 244 414
279 420 471
122 421 497
274 340 490
90 139 253
175 286 456
55 56 339
93 224 452
120 132 502
344 378 496
70 247 346
64 240 389
146 171 484
117 348 464
243 287 397
152 179 264
121 311 476
226 379 415
19 189 343
72 439 469
108 130 411
53 62 65
165 221 367
320 406 505
40 49 61
35 233 306
212 463 480
326 423 502
90 253 357
162 198 299
54 178 385
163 185 236
146 331 343
74 253 355
174 178 325
63 350 499
355 396 457
61 165 309
272 301 443
98 132 385
206 275 372
142 326 392
38 347 499
105 126 239
20 264 409
2 162 487
16 103 145
168 468 500
26 213 319
255 368 426
44 45 488
68 199 444
415 441 498
203 297 349
210 230 326
98 300 430
88 267 477
85 373 485
15 467 491
56 141 336
262 361 433
241 343 394
96 343 371
354 401 457
261 448 458
95 129 143
387 416 420
96 364 378
219 257 447
43 312 423
16 153 177
254 424 463
69 92 164
124 246 504
94 268 355
154 388 422
9 382 393
203 208 211
238 279 485
156 346 391
7 188 232
9 84 461
47 190 440
83 103 310
42 276 285
344 405 480
64 87 363
182 358 481
84 97 368
99 452 459
60 95 441
204 341 343
15 145 458
183 195 271
115 341 424
26 313 363
111 158 202
141 262 509
266 390 404
42 103 235
153 176 271
11 251 296
29 75 413
110 217 328
179 333 411
144 169 450
344 372 506
120 191 287
207 292 427
216 450 490
52 173 209
107 246 454
51 101 341 671 782 815
79 150 240 598 872 882
198 252 332 405 512 957
301 345 409 442 678 755
147 207 248 416 697 879
17 123 337 504 523 625
143 284 346 439 788 893
395 489 557 615 690 992
32 56 111 143 147 320
36 264 847 862 988 993
352 480 482 821 844 874
422 591 786 837 875 1013
73 155 221 444 461 835
187 382 421 539 549 882
241 342 613 754 805 895
375 451 517 747 970 1004
50 148 407 720 958 982
100 179 227 282 508 667
23 478 537 576 766 825
291 380 661 676 740 930
300 473 671 719 733 956
53 65 223 628 660 711
26 208 485 513 813 888
153 380 474 503 592 653
64 148 293 351 392 413
15 342 539 577 756 898
310 436 523 684 960 1007
269 548 652 717 803 858
28 79 371 629 868 878
70 535 614 694 774 1014
129 176 187 331 563 824
192 199 627 772 792 885
1 62 73 358 609 711
243 422 578 693 722 912
39 246 434 667 749 757
80 331 559 574 732 937
33 233 287 500 852 902
110 124 302 350 618 788
31 336 452 767 898 954
1 234 316 520 752 855
75 174 190 449 698 936
398 484 506 679 702 853
98 283 296 419 996 1011
146 481 744 783 803 981
0 66 257 664 782 962
105 291 370 444 512 962
122 156 584 763 827 880
262 301 732 811 861 994
107 140 308 446 578 785
151 227 334 420 804 936
2 285 339 490 784 877
63 130 372 489 605 668
103 477 505 899 911 1022
360 543 551 774 782 933
177 536 542 630 670 942
205 338 566 734 831 918
227 267 482 800 918 971
30 85 351 368 471 854
334 404 447 540 738 784
33 189 390 619 665 709
299 341 728 859 871 1002
59 136 362 665 936 949
135 315 336 456 814 933
55 148 378 637 714 947
52 115 374 560 923 998
47 364 367 453 456 933
5 203 253 355 443 692
86 279 418 662 834 861
505 572 702 725 748 963
164 165 198 254 674 984
74 114 182 425 562 922
273 373 537 566 773 864
4 353 412 737 786 931
88 343 399 586 636 897
146 265 324 434 779 945
10 78 94 272 866 1014
278 411 417 617 789 907
91 92 250 265 498 547
14 31 68 274 534 872
3 132 297 657 670 747
144 409 420 491 659 818
58 167 173 354 743 817
141 208 292 351 483 703
184 229 270 275 323 995
102 619 651 794 993 1000
85 134 157 579 790 969
34 172 216 414 562 808
35 274 429 644 827 998
66 379 435 558 777 968
237 279 379 381 387 729
130 700 719 802 916 940
75 112 135 226 692 891
159 299 477 761 792 984
298 517 719 766 833 919
399 484 636 745 787 986
525 569 708 741 977 1002
210 304 404 882 974 979
45 310 409 589 795 1000
32 82 866 889 951 967
18 250 329 421 802 1001
70 195 256 499 868 898
269 432 686 695 777 813
101 136 330 439 621 849
594 604 651 958 995 1011
41 231 527 758 896 905
24 99 423 448 565 955
245 506 575 605 635 758
45 175 196 713 837 1023
44 192 601 654 852 932
125 163 249 703 797 848
217 228 357 367 715 1015
250 670 723 724 855 1008
88 150 394 559 652 762
15 23 381 580 595 801
7 16 212 544 693 743
83 516 547 564 731 1006
398 529 650 727 830 909
61 190 361 499 548 925
55 154 244 276 402 665
214 419 506 526 657 695
96 235 627 718 920 1019
172 238 249 428 770 928
13 86 648 678 891 914
13 35 95 317 742 887
67 126 276 542 856 985
202 791 805 862 864 868
48 85 108 515 639 955
83 88 218 248 413 713
166 278 290 416 651 829
53 68 260 762 892 977
115 162 293 375 866 932
228 258 573 644 879 904
544 560 606 800 920 951
6 142 145 319 671 722
143 197 475 614 620 905
18 135 140 335 336 607
25 76 128 593 620 635
347 438 440 530 707 900
104 204 469 521 664 745
95 149 214 519 797 916
20 50 289 474 667 858
40 348 621 699 971 1009
197 203 285 552 850 953
394 444 624 799 804 977
19 111 297 562 586 1017
29 149 509 515 958 1004
377 388 507 681 924 944
118 134 462 653 768 884
32 63 180 502 534 884
217 294 471 569 861 867
159 239 433 516 600 649
61 221 303 313 400 427
73 84 129 311 716 927
593 749 780 820 982 1012
89 132 352 452 582 987
20 188 343 431 753 799
1 44 746 811 900 991
202 242 292 318 760 762
193 441 480 519 612 1008
286 288 330 342 580 849
6 181 421 423 549 586
10 640 663 751 841 887
673 730 807 876 941 957
144 374 465 513 907 943
262 427 449 691 796 984
113 242 458 757 934 949
187 208 430 435 597 750
56 328 437 543 545 859
36 71 570 815 894 959
5 372 446 642 662 1017
253 312 567 733 836 896
455 500 554 739 778 924
136 177 266 424 572 752
271 327 402 683 826 1022
210 476 501 786 794 946
158 249 399 574 817 917
57 138 171 638 904 1012
183 212 529 723 856 982
115 328 660 737 942 946
324 397 685 795 927 1016
236 370 374 603 607 745
108 281 503 564 604 825
145 283 382 711 878 999
106 164 247 666 755 1005
195 251 535 688 767 810
323 523 622 771 875 943
292 349 364 378 619 644
71 109 164 555 887 888
2 120 329 393 748 992
31 43 98 232 542 930
107 232 311 491 641 994
29 170 317 353 557 1019
245 410 584 590 614 623
397 692 793 808 841 857
27 572 587 655 672 810
191 326 390 552 563 1005
82 110 186 281 674 755
6 185 213 626 804 899
217 345 525 652 910 941
139 209 497 633 837 963
165 268 363 725 758 886
27 49 280 375 463 583
209 450 544 763 796 1008
101 126 410 639 965 989
174 273 277 344 630 1003
91 163 426 599 735 791
312 561 608 629 881 952
97 117 225 398 581 1020
137 159 224 280 574 989
59 530 630 730 849 1022
111 338 706 759 853 966
60 355 529 691 764 989
369 518 532 873 895 938
12 152 386 405 789 960
60 81 276 332 519 666
127 149 242 356 429 615
271 377 465 616 850 1021
182 261 555 597 718 1015
106 475 564 589 678 796
39 218 504 550 683 980
243 264 300 349 511 577
233 251 654 805 845 934
87 113 196 207 520 645
4 251 288 473 836 840
74 141 392 660 721 919
118 353 381 468 600 771
526 537 600 695 885 929
118 488 496 567 736 854
124 213 278 566 594 634
94 191 661 743 838 860
243 319 350 556 735 966
215 293 408 673 895 900
295 366 367 553 632 992
19 308 339 545 633 937
77 389 393 456 834 908
201 223 426 458 801 1011
121 261 424 498 714 943
139 275 282 513 622 705
313 348 366 635 677 990
119 385 583 707 903 955
238 385 594 668 682 923
21 389 528 627 642 973
66 167 415 417 669 843
263 339 440 598 726 926
131 239 282 683 843 912
196 205 358 430 467 478
225 524 716 750 985 1023
475 595 672 839 851 922
17 123 585 588 628 778
571 591 608 777 780 820
69 307 549 772 819 830
328 340 395 412 618 1013
186 611 641 650 681 853
843 876 884 916 940 945
110 214 383 489 659 983
27 121 359 448 561 961
372 422 483 632 642 783
45 181 606 615 765 980
90 302 460 710 768 906
201 433 512 715 807 865
133 219 360 487 703 878
12 435 559 601 607 976
201 349 602 787 972 1009
361 403 570 591 764 832
526 647 684 870 927 956
42 58 60 165 183 442
160 202 624 760 839 1010
236 496 497 634 738 968
138 321 384 445 679 986
68 263 340 414 573 685
231 283 396 447 481 726
94 132 377 863 1005 1012
194 231 495 700 893 950
78 106 294 746 747 823
9 11 46 378 419 915
403 431 501 764 905 952
305 429 479 532 754 996
112 153 157 515 776 816
54 72 362 589 757 811
76 432 442 851 913 990
4 178 266 335 345 540
24 120 184 450 646 863
116 174 268 366 535 664
72 175 441 501 770 820
145 158 244 533 541 828
117 550 814 851 883 996
270 284 609 656 717 917
78 653 753 838 926 1019
522 637 641 720 735 890
91 188 325 347 376 397
76 158 212 305 414 689
13 412 493 793 869 890
294 396 486 658 696 1020
191 216 388 459 503 728
171 247 445 538 721 806
185 318 488 617 734 824
3 279 305 723 869 1013
36 166 510 682 803 965
317 318 472 663 741 865
34 114 275 622 718 941
192 299 458 690 763 967
90 117 298 477 492 950
325 569 596 602 610 891
295 373 521 675 699 792
81 193 316 380 634 691
125 173 303 740 812 911
43 357 457 546 727 937
113 188 592 623 765 909
83 525 538 659 699 840
236 406 495 533 687 949
200 222 327 472 596 995
144 256 365 497 823 928
466 599 602 611 877 981
53 226 280 821 848 1007
161 204 400 595 629 885
43 44 207 436 623 775
34 130 384 582 701 881
20 49 401 416 528 613
39 153 178 285 428 889
10 346 463 545 706 960
157 433 696 818 830 935
57 63 102 655 705 746
35 127 222 639 725 732
69 238 253 459 461 608
168 215 385 815 829 903
246 499 710 756 828 946
488 687 883 939 953 966
178 490 616 715 806 875
37 256 467 772 785 1015
388 466 524 531 581 769
59 206 291 296 536 590
295 310 407 554 798 944
390 391 443 486 769 852
52 162 386 583 889 1016
210 248 267 780 802 908
128 555 599 628 654 869
223 356 565 606 886 971
52 502 563 673 698 907
142 235 286 322 463 568
17 50 468 727 767 918
108 485 702 706 816 915
11 138 724 833 1003 1006
25 96 259 273 379 568
744 930 944 973 974 1003
156 373 646 921 997 1018
204 262 393 847 896 904
309 587 657 760 922 991
99 522 647 709 794 954
92 180 553 655 841 925
209 226 558 890 909 965
224 237 736 785 809 947
28 80 234 494 689 724
359 404 425 510 750 865
86 170 701 816 819 871
22 114 371 391 894 975
301 304 741 945 948 986
259 265 350 450 455 632
239 316 637 669 911 940
25 87 194 324 454 999
151 277 284 287 640 658
8 408 597 739 788 876
19 168 551 592 781 972
193 200 471 531 705 809
55 281 344 742 998 1007
211 441 686 712 859 979
28 167 437 578 649 834
99 105 129 160 406 828
0 176 309 405 581 934
360 431 553 616 961 1000
121 314 462 473 508 761
122 170 541 601 647 888
48 69 234 688 810 974
140 244 800 903 952 1018
72 104 173 829 846 969
79 313 376 438 453 778
2 181 470 474 812 846
21 322 440 527 709 773
9 51 93 258 391 850
109 252 308 781 921 979
82 211 365 476 603 929
96 104 464 612 680 765
54 141 169 322 790 897
211 259 402 590 712 988
155 303 323 626 836 848
152 177 232 540 688 749
557 713 822 827 942 951
75 356 438 460 496 826
220 386 479 570 867 978
41 257 384 575 729 987
240 300 314 668 761 923
107 176 206 457 480 1010
252 340 751 823 906 991
233 493 580 717 809 953
125 290 604 650 845 988
483 646 729 833 871 973
7 213 445 640 658 736
21 42 451 779 854 948
327 507 680 807 813 926
95 258 288 369 737 779
54 109 268 334 479 684
65 160 669 687 742 798
220 266 383 613 771 975
319 485 508 605 714 824
161 254 307 675 716 857
24 420 551 576 844 1010
290 326 341 371 464 997
142 240 455 576 577 935
61 134 509 720 795 839
127 131 481 482 645 832
84 306 571 648 883 956
74 257 582 701 793 901
46 315 389 511 932 1016
16 219 269 376 817 874
128 241 511 686 791 1014
9 270 539 552 910 912
22 524 538 844 929 964
216 261 309 400 769 978
189 267 306 534 631 857
70 105 610 734 744 774
14 67 81 677 682 908
430 514 626 704 913 978
7 221 289 472 633 914
26 190 821 822 874 987
37 179 522 533 939 981
358 693 860 906 983 1006
225 277 325 468 487 835
229 296 406 677 873 961
237 415 491 598 819 1020
195 247 274 446 690 880
3 469 694 726 738 856
154 411 565 631 776 967
102 194 199 561 790 842
71 451 514 617 681 708
58 156 368 454 835 972
56 64 152 333 504 550
168 365 403 510 532 656
8 434 587 625 674 798
0 541 543 697 751 901
57 186 493 704 770 881
84 97 241 722 846 931
154 180 696 847 873 994
163 387 395 484 964 1002
255 457 490 624 721 840
40 230 298 333 401 950
120 124 169 320 329 963
48 337 492 495 509 611
116 220 415 680 775 870
12 38 189 246 643 980
62 297 304 369 806 976
5 98 245 382 698 775
100 338 464 478 1017 1021
203 205 453 675 676 845
311 500 505 585 919 1001
11 321 423 666 694 842
172 255 306 428 799 1023
77 368 394 396 893 902
161 332 424 697 753 917
139 411 417 855 948 975
77 413 731 789 976 1004
199 312 362 892 901 1001
335 363 527 648 700 897
254 272 443 656 679 993
133 146 410 476 609 886
30 37 575 879 938 983
112 272 842 858 910 925
418 516 528 596 818 872
97 126 437 460 521 620
47 92 466 573 685 970
67 162 536 661 773 959
41 320 392 547 860 931
197 260 486 507 520 862
184 459 568 801 822 913
26 93 354 439 454 517
122 307 315 408 748 870
151 171 432 494 610 756
16 631 676 739 776 880
29 219 333 546 752 928
89 230 289 603 787 968
137 229 230 286 556 649
401 492 518 560 579 612
347 494 621 663 938 997
287 448 571 579 863 999
87 89 131 200 255 357
8 14 65 169 198 645
64 224 487 588 712 924
228 361 548 710 969 990
23 40 47 355 383 556
22 119 425 465 618 957
18 116 502 768 838 962
62 271 452 584 625 730
80 206 331 593 915 1021
218 370 427 467 825 970
263 343 498 588 733 826
326 470 567 662 831 832
344 346 348 359 728 797
93 147 222 364 469 808
38 90 302 759 781 921
321 363 418 518 643 914
166 179 387 704 707 964
119 260 354 638 947 954
30 100 314 689 814 959
46 470 783 864 867 894
183 185 461 759 920 939
15 42 462 531 546 708
155 337 530 740 766 985
33 49 103 784 812 935
514 558 877 899 902 1018
103 123 182 264 447 636
38 51 137 150 436 585
133 330 449 643 831 1009
235 407 426 672 754 892
175 215 352 554 638 731
